sced_timestamp,market,location,location_type,lmp
2023-01-01 19:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.33
2023-01-01 19:05:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.28
2023-01-01 19:10:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.17
2023-01-01 19:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,33.59
2023-01-01 19:20:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,49.73
2023-01-01 19:25:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.14
2023-01-01 19:30:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.49
2023-01-01 19:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.32
2023-01-01 19:40:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.49
2023-01-01 19:42:46+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.63
2023-01-01 19:45:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.09
2023-01-01 19:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.31
2023-01-01 19:55:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.67
2023-01-01 19:59:00+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.7
2023-01-01 20:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,42.6
2023-01-01 20:05:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,43.04
2023-01-01 20:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.39
2023-01-01 20:15:11+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.58
2023-01-01 20:20:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,35.68
2023-01-01 20:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.66
2023-01-01 20:30:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.01
2023-01-01 20:35:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.1
2023-01-01 20:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.12
2023-01-01 20:45:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.42
2023-01-01 20:50:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.88
2023-01-01 20:55:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.11
2023-01-01 21:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,27.21
2023-01-01 21:05:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.2
2023-01-01 21:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.01
2023-01-01 21:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.97
2023-01-01 21:20:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,24.27
2023-01-01 21:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.73
2023-01-01 21:30:11+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.93
2023-01-01 21:35:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.71
2023-01-01 21:40:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.53
2023-01-01 21:45:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,32.59
2023-01-01 21:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.88
2023-01-01 21:55:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,30.93
2023-01-01 22:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,29.87
2023-01-01 22:05:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,35.71
2023-01-01 22:10:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,73.0
2023-01-01 22:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,44.48
2023-01-01 22:20:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,31.04
